id/I,peaktime/F,chan/F,peakamp/F,sumadc/F,view/I,wire/S,index/I,x/F,y/F,z/F,dirx/F,diry/F,dirz/F,p/F
0,1670.87,284,17.0215,305.29,1,C:0 T:0 P:1 W:44,166,32.6442,-0.62078,9.98605,0.0664317,-0.00998482,-0.997741,0
0,1670.42,43,12.4458,202.815,0,C:0 T:0 P:0 W:43,167,32.658,-0.622856,9.77863,0.0664317,-0.00998482,-0.997741,0
0,1674.42,283,19.7046,369.087,1,C:0 T:0 P:1 W:43,168,32.675,-0.62541,9.5234,0.0664317,-0.00998482,-0.997741,0
0,1672.75,42,10.8641,174.179,0,C:0 T:0 P:0 W:42,169,32.689,-0.627518,9.31274,0.0664317,-0.00998482,-0.997741,0
0,1677.25,282,13.2874,292.909,1,C:0 T:0 P:1 W:42,170,32.7057,-0.630028,9.062,0.0664317,-0.00998482,-0.997741,0
0,1674.3,41,10.5574,168.513,0,C:0 T:0 P:0 W:41,171,32.72,-0.632167,8.84822,0.0664317,-0.00998482,-0.997741,0
0,1681.34,281,24.3655,338.777,1,C:0 T:0 P:1 W:41,172,32.7366,-0.634667,8.59844,0.0664317,-0.00998482,-0.997741,0
0,1676.04,40,10.5247,168.8,0,C:0 T:0 P:0 W:40,173,32.7509,-0.636819,8.38337,0.0664317,-0.00998482,-0.997741,0
0,1675.95,280,16.5593,265.028,1,C:0 T:0 P:1 W:40,174,32.7664,-0.639143,8.1511,0.0664317,-0.00998482,-0.997741,0
0,1679.18,39,10.554,193.979,0,C:0 T:0 P:0 W:39,175,32.782,-0.641496,7.91606,0.0664317,-0.00998482,-0.997741,0
0,1678.07,279,17.6412,303.786,1,C:0 T:0 P:1 W:39,176,32.797,-0.643749,7.69091,0.0664317,-0.00998482,-0.997741,0
0,1681.13,38,11.4277,212.329,0,C:0 T:0 P:0 W:38,177,32.813,-0.646151,7.45085,0.0664317,-0.00998482,-0.997741,0
0,1681.83,278,16.305,280.404,1,C:0 T:0 P:1 W:38,178,32.8279,-0.648382,7.22791,0.0664317,-0.00998482,-0.997741,0
0,1679.21,37,8.71875,139.875,0,C:0 T:0 P:0 W:37,179,32.8435,-0.650739,6.99241,0.0664317,-0.00998482,-0.997741,0
